vol-l3i3,energy-l3i3,vol-l3i5,energy-l3i5,vol-l4i3,energy-l4i3,vol-l2i5,energy-l2i5
9.346220016331342,-6.910374164581299,9.378709179637072,-6.915893077850342,9.268984884656248,-6.878325462341309,9.368166884652137,-6.953478813171387
9.644481484028487,-6.975947380065918,9.67800745852793,-6.986838340759277,9.564781584384,-6.9659810066223145,9.667128732304523,-7.016170501708984
9.949021911025136,-7.018455505371094,9.9836065235246,-7.022374153137207,9.866805355455746,-7.0195417404174805,9.972384283558677,-7.046567440032959
10.259906703147319,-7.044373512268066,10.29557200781569,-7.038641929626465,10.175121063197993,-7.049293518066406,10.283999097827104,-7.061857223510742
10.577201266221062,-7.058323383331299,10.61396954458979,-7.046481132507324,10.48979357293725,-7.063942909240723,10.60203873452233,-7.070519924163818
10.900971006072423,-7.062757968902588,10.93886476703551,-7.049153804779053,10.810887750000001,-7.068493843078613,10.92656875305687,-7.073774337768555
11.231281328527421,-7.058166980743408,11.270323308341457,-7.0457282066345215,11.138468459712744,-7.064939498901367,11.25765471284325,-7.069549083709717
11.568197639412107,-7.043501377105713,11.608410801696222,-7.033394813537598,11.472600567402003,-7.05353307723999,11.595362173293976,-7.055271148681641
11.911785344552499,-7.017651081085205,11.953192880288416,-7.009697914123535,11.813348938394249,-7.033491611480713,11.939756693821577,-7.029376029968262
12.262109849774655,-6.980098724365234,12.304735177306636,-6.974886417388916,12.160778438016,-7.004006385803223,12.290903833838568,-6.991270065307617
12.619236560904595,-6.931603908538818,12.663103325939488,-6.9317450523376465,12.514953931593745,-6.964883804321289,12.648869152757465,-6.941988468170166
